Fold #,Percentile,Predicted Depth,Reranked All Metric Value,Initial Metric Value,Maximum Metric Value,Depth of Maximum Metric Value,Metric Value At Predicted Depth,Ratio (Metric at Depth / Reranked All),Ratio (Metric at Depth / Maximum Metric Value)
0,25,27,6.8461611555535535,6.8461611555535535,7.484770054209548,93,5.025869398549641,0.7341149710553767,0.6714794659220047
0,25,27,6.864396850157386,6.864396850157386,8.562821099428277,0,8.24953977318468,1.2017865448725527,0.9634137718625799
0,25,27,6.846856557172109,6.846856557172109,11.37056884593225,13,10.78047402395038,1.5745143678609406,0.948103315675981
0,25,27,6.239566963927731,6.239566963927731,7.688923972781549,13,7.359116836141369,1.1794274953191455,0.9571062039620001
0,25,27,7.010254151571571,7.010254151571571,9.413998917962244,166,8.845377356638178,1.2617769863101476,0.9395982975694721
0,25,25,7.920982661428224,7.920982661428224,8.163401890222309,87,7.245877022108616,0.9147699637562545,0.8876050841974772
0,25,25,7.80163950154093,7.80163950154093,8.376242957483553,152,6.166580770925061,0.7904211377245869,0.7361988903886411
0,25,25,7.468966086184148,7.468966086184148,7.468966086184148,318,5.3610887033962795,0.7177819046886621,0.7177819046886621
0,25,25,8.216851134327708,8.216851134327708,9.220956172174708,138,6.974235896161738,0.8487723316569932,0.7563462797065769
0,25,25,7.461372836841218,7.461372836841218,7.461372836841218,23,7.461372836841218,1.0,1.0
0,25,25,7.635632752850816,7.635632752850816,10.310207740252224,16,10.310207740252224,1.350275487830768,1.0
0,25,25,7.466556751077204,7.466556751077204,7.466556751077204,494,5.892789260714372,0.7892244654625061,0.7892244654625061
0,25,25,8.113518726644532,8.113518726644532,8.815922306406408,347,4.994849252042335,0.6156205982047483,0.5665713782904651
