query_id	NQC	UEF	RSD	OddsRatio	WIG	Scaled NQC	QV-NQC Variant	DenseQPP	SMV	Sigma_max	Sigma_x	max_dcg_value_monoelectra	max_dcg_value_monoelectra_depth	initial_splade_retrieved_dcg_value	monoelectra_reranked_all_dcg_value
1055269	48.32556	170.33167	4.24286	8.279507	17.545639	48.32556	48.32556	0.00957055	14.139256	1.8923749	1.8762454	13.630678014265037	13	12.480260071800362	13.630678014265037
1055324	2.981722	10.3757305	0.27047884	5.4333177	9.063876	2.981722	2.981722	0.0090142675	3.1487024	0.55417854	0.55417854	13.630678014265037	0	13.630678014265037	13.630678014265037
1055889	85.57659	295.8194	8.729928	11.761167	15.9370165	85.57659	85.57659	0.009489312	21.148981	2.406085	2.406085	6.850406725212233	5	6.537006336948709	5.747941510630821
1056025	30.7287	118.916336	6.5028763	10.943457	26.35386	30.7287	30.7287	0.0073143314	14.538281	1.7739713	1.7739713	11.356945959043324	65	10.098705269860856	11.356945959043323
1056286	229.23796	787.0996	18.86245	10.904054	11.594031	229.23796	229.23796	0.010577803	30.546745	3.0263295	2.9954665	7.499204935331296	18	7.350406725212233	7.499204935331296
1056884	19.075335	68.95884	1.7407191	8.686878	12.936082	19.075335	19.075335	0.009765353	8.349103	1.2915701	1.2915701	13.028618022937074	13	12.435991564784917	12.696341174521239
1057117	733.3429	2732.0647	44.64425	30.587063	28.018515	733.3429	733.3429	0.0112986015	91.25347	8.920119	3.7631717	9.032853388557326	9	8.787519691810996	8.951276146645446
1057190	616.5179	2362.7505	38.30575	21.589567	33.036964	616.5179	616.5179	0.010648102	77.74639	7.1927595	5.403271	10.034332589091258	9	9.851221188850714	10.034332589091258
1057219	244.72168	812.2675	19.8922	11.59734	11.13083	244.72168	244.72168	0.009075108	29.484833	3.2582529	2.754925	13.630678014265037	16	12.680849808481995	13.630678014265037
1057367	952.32654	3463.3818	46.07136	30.311432	30.65736	952.32654	952.32654	0.010259864	105.705986	9.720615	4.732533	12.109906634209777	16	12.01936705605131	12.109906634209775
1057536	65.18116	223.00299	4.6698346	7.6098166	8.473557	65.18116	65.18116	0.010222341	15.820831	1.6970683	1.6970683	11.018607228482908	7	10.36212314775362	6.21444760306672
1057939	173.66869	563.3986	28.923021	19.4202	11.00911	173.66869	173.66869	0.008866937	32.49345	2.214933	2.214933	13.630678014265037	14	13.052548361629261	13.630678014265037
1058036	9.7387295	35.300735	0.98865324	5.013623	6.451006	9.7387295	9.7387295	0.010415366	5.1183367	0.78050685	0.78050685	5.7051347117863225	95	5.399766525196368	5.7051347117863225
